Muddy Puddles. | 泥坑
DineDine SawSaw. | 恐龙。
At bath time, | 在洗澡的时候，
George shares his bath with Mr. Dinosaur | 乔治与恐龙先生一起洗。
Grrrrrrrrrrrrr. | 咯~~~~~~~~
Goodnight, Peppa. | 晚安，佩奇。
Goodnight, Mummy. | 晚安，妈妈。
Goodnight, George. | 晚安，乔治。
And goodnight, Mr. Dinosaur. | 晚安，恐龙先生。
Grrrrrrrrr. | 咯~~~~~~~
When George goes to bed, | 乔治睡觉时，
Mr. Dinosaur is tucked up with him. | 恐龙先生和他睡在一起。
George's favourite game is throwing Mr. Dinosaur up in the air and catching him when he falls back down. | 乔治最喜欢的游戏是把恐龙先生扔上天空，在他掉下来时把他接住。
Peppa and Daddy Pig are playing draughts. | 佩奇正在和猪爸爸捉国际跳棋。
I win, Daddy. | 我赢了，爸爸。
Oh, well done,Peppa. | 哦，下得好，佩奇。
Whhhhaaaaaaaaaaa。 | 哇~~~~~~~~~
George? | 乔治？
Whaaaaaaaaa. | 哇~~~~~~~~~
George, what's the matter? | 乔治，出什么事了？
DineDine SawSaw... | 恐龙。。。
George, have you lost Mr. Dinosaur? | 乔治，你是不是把恐龙先生弄丢了？
George has lost Mr. Dinosaur. | 乔治把恐龙先生弄丢了。
Don't worry George. | 不用担心，乔治。
We'll find Mr. Dinosaur. | 我们会找到恐龙先生的。
It's a job for a detective. | 现在轮到侦探出场了。
Daddy, what is a detective? | 爸爸，什么是侦探？
A detective is a very important person | 侦探是非常厉害的人
who is good at finding things. | 他们善长找到丢失的东西。
Me. Me. I'm good at finding things. | 我，我。我善长找到丢失的东西。
Alright. Peppa is the detective. | 好吧。那现在佩奇就是侦探了。
George. I am the detective. | 乔治，我现在是侦探了。
I will help you find Mr. Dinosaur. | 我会帮你找到恐龙先生的。
Maybe the detective should ask | 也许侦探小姐应该问
George some simple questions. | 乔治一些简单的问题。
George? where's Mr. Dinosaur? | 乔治？恐龙先生在哪里呢？
Whaaaaaaaaaa. | 哇~~~~~~
George does not know where Mr. Dinosaur is. | 乔治不知道恐龙先生在哪里。
The detective could try and guess | 侦探小姐要猜猜
where Mr. Dinosaur might be. | 恐龙先生可能在哪里。
I know. I know where he is. | 我知道。我知道他在哪了。
George always has Mr. Dinosaur with him in the bath. | 乔治总是在洗澡时让恐龙先生陪着
So Mr. Dinosaur is in the bath. | 所以恐龙先生在浴缸里。
Mr. Dinosaur is not in the bath. | 恐龙先生不在浴缸里。
Oh. I know. | 哦，我知道了。
I know where Mr. Dinosaur is. | 我知道恐龙先生在哪里了。
George always has Mr.Dinosaur in his bed at night. | 乔治总是在晚上睡觉时让恐龙先生陪着
So that's where he is. | 所以他应该在床上。
Mr. Dinosaur is not in George's bed. | 恐龙先生不在乔治的床上。
Oh. | 哦。
Maybe we should try the garden. | 也许我们应该去花园里找找。
Yes, the garden. | 是的，是花园。
I was going to say that. | 我正准备说。
Where is Mr. Dinosaur? | 恐龙先生在哪？
Mr. Dinosaur is very hard to find. | 看来恐龙先生很难找到。
Oh. Mr. Dinosaur isn't anywhere. | 哦。哪里都没有恐龙先生。
George? You do love to throw Mr. Dinosaur in the air... | 乔治？你喜欢把恐龙先生扔上天空。。。
I wonder if this time | 我想这一次
you threw Mr. Dinosaur just a bit too high. | 你是不是把恐龙先生扔得太高了一点。
There he is. There he is. | 在那里。在那里。
I saw him first. | 是我先看到他的。
Well done, Peppa. | 干得好，佩奇。
You really are a very good detective. | 你真是一个出色的侦探小姐。
DineDine SawSaw. | 恐龙。
Grrrrrrrrrr. | 咯~~~~~~~
George is so happy to have Mr. Dinosaur back again. | 找回了恐龙先生，乔治开心得不得了。
Maybe it isn't a good idea to play with dinosaurs near trees. | 在树附近和恐龙先生玩也许不是一个好主意。
Maybe it isn't a good idea to play with dinosaurs near trees. | 在树附近和恐龙先生玩也许不是一个好主意。
DineDine Sawsaw. | 恐龙.
