+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
Was that you George, or was it Mr. Dinosaur? | 是你吗乔治，还是恐龙先生？
DineDine SawSaw. | 恐龙。
At bath time, | 在洗澡的时候，
George shares his bath with Mr. Dinosaur | 乔治与恐龙先生一起洗。
Grrrrrrrrrrrrr. | 咯~~~~~~~~
Goodnight, Peppa. | 晚安，佩奇。
Goodnight, Mummy. | 晚安，妈妈。
Goodnight, George. | 晚安，乔治。
And goodnight, Mr. Dinosaur. | 晚安，恐龙先生。
Grrrrrrrrr. | 咯~~~~~~~
When George goes to bed, | 乔治睡觉时，
Mr. Dinosaur is tucked up with him. | 恐龙先生和他睡在一起。
George's favourite game is throwing Mr. Dinosaur up in the air and catching him when he falls back down. | 乔治最喜欢的游戏是把恐龙先生扔上天空，在他掉下来时把他接住。
Peppa and Daddy Pig are playing draughts. | 佩奇正在和猪爸爸捉国际跳棋。
I win, Daddy. | 我赢了，爸爸。
Oh, well done,Peppa. | 哦，下得好，佩奇。
Whhhhaaaaaaaaaaa。 | 哇~~~~~~~~~
George? | 乔治？
Whaaaaaaaaa. | 哇~~~~~~~~~
George, what's the matter? | 乔治，出什么事了？
DineDine SawSaw... | 恐龙。。。
George, have you lost Mr. Dinosaur? | 乔治，你是不是把恐龙先生弄丢了？
George has lost Mr. Dinosaur. | 乔治把恐龙先生弄丢了。
Don't worry George. | 不用担心，乔治。
We'll find Mr. Dinosaur. | 我们会找到恐龙先生的。
It's a job for a detective. | 现在轮到侦探出场了。
Daddy, what is a detective? | 爸爸，什么是侦探？
A detective is a very important person | 侦探是非常厉害的人
who is good at finding things. | 他们善长找到丢失的东西。
Me. Me. I'm good at finding things. | 我，我。我善长找到丢失的东西。
Alright. Peppa is the detective. | 好吧。那现在佩奇就是侦探了。
George. I am the detective. | 乔治，我现在是侦探了。
I will help you find Mr. Dinosaur. | 我会帮你找到恐龙先生的。
Maybe the detective should ask | 也许侦探小姐应该问
George some simple questions. | 乔治一些简单的问题。
George? where's Mr. Dinosaur? | 乔治？恐龙先生在哪里呢？
Whaaaaaaaaaa. | 哇~~~~~~
George does not know where Mr. Dinosaur is. | 乔治不知道恐龙先生在哪里。
The detective could try and guess | 侦探小姐要猜猜
where Mr. Dinosaur might be. | 恐龙先生可能在哪里。
I know. I know where he is. | 我知道。我知道他在哪了。
George always has Mr. Dinosaur with him in the bath. | 乔治总是在洗澡时让恐龙先生陪着
So Mr. Dinosaur is in the bath. | 所以恐龙先生在浴缸里。
Mr. Dinosaur is not in the bath. | 恐龙先生不在浴缸里。
Oh. I know. | 哦，我知道了。
I know where Mr. Dinosaur is. | 我知道恐龙先生在哪里了。
George always has Mr.Dinosaur in his bed at night. | 乔治总是在晚上睡觉时让恐龙先生陪着
So that's where he is. | 所以他应该在床上。
Mr. Dinosaur is not in George's bed. | 恐龙先生不在乔治的床上。
Oh. | 哦。
Maybe we should try the garden. | 也许我们应该去花园里找找。
Yes, the garden. | 是的，是花园。
I was going to say that. | 我正准备说。
Where is Mr. Dinosaur? | 恐龙先生在哪？
Mr. Dinosaur is very hard to find. | 看来恐龙先生很难找到。
Oh. Mr. Dinosaur isn't anywhere. | 哦。哪里都没有恐龙先生。
George? You do love to throw Mr. Dinosaur in the air... | 乔治？你喜欢把恐龙先生扔上天空。。。
I wonder if this time | 我想这一次
you threw Mr. Dinosaur just a bit too high. | 你是不是把恐龙先生扔得太高了一点。
There he is. There he is. | 在那里。在那里。
I saw him first. | 是我先看到他的。
Well done, Peppa. | 干得好，佩奇。
You really are a very good detective. | 你真是一个出色的侦探小姐。
DineDine SawSaw. | 恐龙。
Grrrrrrrrrr. | 咯~~~~~~~
George is so happy to have Mr. Dinosaur back again. | 找回了恐龙先生，乔治开心得不得了。
Maybe it isn't a good idea to play with dinosaurs near trees. | 在树附近和恐龙先生玩也许不是一个好主意。
Maybe it isn't a good idea to play with dinosaurs near trees. | 在树附近和恐龙先生玩也许不是一个好主意。
DineDine Sawsaw. | 恐龙.
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Polly Parrot | 鹦鹉波利
Peppa and her family | 佩奇和家人
are visiting Granny Pig and Grandpa Pig. | 去看望猪奶奶和猪爷爷。
Granny Pig! Grandpa Pig! | 奶奶！ 爷爷！
Ganggy Ig! Baba Ig! | 奶奶！ 爷爷！
Hello, my little ones. Come inside, | 你们好，我的小宝贝们。快点进来吧，
we have a surprise. | 我们有个惊喜给你们。
What is it? | 是什么惊喜啊？
We have a new pet. | 我们养了一只新宠物。
Can you guess what it is? | 你们猜猜是什么？
Dine-saw? | 恐龙？
No. | 不是。
It's not a dinosaur. Come and see. | 它不是恐龙。快进来看看。
Granny Pig and Grandpa Pig have a pet parrot. | 猪奶奶和猪爷爷养了一只宠物鹦鹉。
Peppa, George, this is our pet parrot. | 佩奇，乔治，这是我们的宠物鹦鹉。
She's called Polly. Pretty Polly. | 她叫波利。漂亮的波利。
Pretty Polly. | 漂亮的波利。
Oooh. wow. | 哦~。哇。
I'm a clever parrot. | 我是一只聪明的鹦鹉。
I'm a clever parrot. | 我是一只聪明的鹦鹉。
Mummy, why does Polly copy everything that Granny says? | 妈妈，为什么奶奶说什么鹦鹉就跟着说什么呢？
Mummy, why does Polly copy everything that Granny says? | 妈妈，为什么奶奶说什么鹦鹉就跟着说什么呢？
That's what parrots do. | 这是因为鹦鹉会学人说话。
I'll show you. | 我示范给你看看。
Hello, Polly. | 你好，波利。
Hello, Polly. | 你好，波利。
What a sweet little parrot! | 真是一只可爱的小鹦鹉！
What a sweet little parrot! | 真是一只可爱的小鹦鹉！
Come on, everyone, teatime! | 来吧，大家，下午茶的时间到了！
Peppa, George. Come on! | 佩奇，乔治。快来吧！
There's chocolate cake! | 这有巧克力蛋糕！
Coming, Granny! | 来了，奶奶！
Peppa and George love eating chocolate cake. | 佩奇和乔治喜欢吃巧克力蛋糕。
But today, they are in a hurry | 但是今天，他们吃得很快
to get back and play with Polly Parrot. | 想去和鹦鹉波利玩。
Finished! | 吃完了！
What noisy little ones you are! | 你们俩个小家伙可真吵啊！
Granny, please, can we leave the table | 奶奶，我们现在可以离开餐桌
and go and see Polly Parrot? | 去和鹦鹉波利玩吗？
Are sure you've completely finished your cake? | 你们确定已经吃干净蛋糕了吗？
Off you go, then. | 那就去玩吧。
Hurray! | 太好了！
George, say something to Polly. | 乔治，你和波利说些话吧。
George is a little bit shy. | 乔治有点害羞。
Hello. | 你好。
Hello. | 你好。
Peppa and George are really enjoying playing with Polly Parrot. | 佩奇和乔治真的很喜欢和波利一起玩。
Peppa and George are really enjoying playing with Polly Parrot. | 佩奇和乔治真的很喜欢和波利一起玩。
I'm Peppa Pig! | 我是佩奇！
I'm Peppa Pig! | 我是佩奇！
George, say something. | 乔治，你和它说话呀。
Peppa and George are pretending to be parrots. | 佩奇和乔治在假装自己是鹦鹉。
I'm Polly Parrot。 | 我是鹦鹉波利。
Peppa is thinking of something else to say to Polly Parrot. | 佩奇在想有什么可以对鹦鹉波利说的。
Peppa is thinking of something else to say to Polly Parrot. | 佩奇在想有什么可以对鹦鹉波利说的。
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
Peppa, George, | 佩奇，乔治，
have you been playing with Polly? | 你们是不是正在和波利玩？
Yes, Granny. | 是的，奶奶。
Polly is such a sweet parrot. | 波利是一只多么可爱的鹦鹉。
Yes, Granny. | 是的，奶奶。
I'm a clever parrot. | 我是一只聪明的鹦鹉。
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
Ohh! | 哦~！
Oh, my word! | 哦，我的天啊！
I'm Peppa Pig. | 我是佩奇.
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Best Friend. | 最好的朋友。
Peppa is waiting for her best friend, Suzy Sheep. | 佩奇在等她最好的朋友，小羊苏茜。
Hello, Suzy! | 你好，苏茜！
Baaaa! Hello, Peppa. | 咩~！ 你好，佩奇。
Suzy Sheep has come to play with Peppa. | 小羊苏茜来找佩奇玩了。
Peppa loves Suzy. Suzy loves Peppa. | 佩奇喜欢苏茜。苏茜也喜欢佩奇。
They are best friends. | 他们是最好的朋友。
Peppa, why don't you and Suzy go and play in your bedroom? | 佩奇，你为什么不与苏茜去你的卧室玩？
Yes, Mummy! | 好的，妈妈！
George wants to play, too. | 乔治也想一起玩。
Peppa and Suzy love playing in Peppa's bedroom. | 佩奇和苏茜喜欢在佩奇的卧室玩。
So does George. | 乔治也喜欢。
No, George. | 不行，乔治。
This game is just for big girls. | 这游戏只适合女孩子玩。
Go and play with your own toys. | 你去玩你自己的玩具吧。
Peppa and Suzy want to play on their own. | 佩奇和苏茜只想自己玩。
I'm a tiny little fairy princess! | 我是一个小小仙女公主！
I'm going to wave my magic wand... | 我现在要挥动我的魔法棒了。。。
and turn you into a frog! | 然后把你变成青蛙！
George doesn't like playing on his own. | 乔治不喜欢自己一个人玩。
George wants to play, too. | 乔治也想一起玩。
No, George! I'm playing with Suzy... | 不行，乔治！我正在和苏茜玩。。。
You'll have to play somewhere else. | 你应该去别的地方玩。
George wants to play with Peppa. | 乔治想和佩奇一起玩。
He feels a bit lonely. | 他感到有点孤单。
George, I need some help!! | 乔治，我需要一些帮忙！
I'm making chocolate chip cookies!! | 我在做巧克力饼干啊！
Someone needs to lick out the bowl. | 需要有人舔干净这碗。
George likes helping Mummy make cookies. | 乔治喜欢帮妈妈做饼干。
But he likes playing with Peppa more. | 但他更想和佩奇一起玩。
Baaaa! I want to be a nurse! | 咩~！我想当护士。
I want to be a doctor. | 我想当一名医生。
But who's gonna be the sick person? | 但谁来当病人呢？
GEORGE!!! | 乔治！！！
Peppa and Suzy love playing doctors and nurses. | 佩奇和苏茜喜欢扮演医生和护士。
So does George. | 乔治也喜欢。
Peppa listens to George's chest. | 佩奇听了下乔治的心脏。
Now, George, take a big breath in... | 现在，乔治，深吸一口气。。。
then cough. | 然后咳嗽。
Mm, I think your heart's a bit loose... | 嗯，我觉得你的心跳有一点慢。。。
...I'll put a plaster on it. | 。。。我给你贴块膏药。
Baa! Open wide, please. | 咩！请把嘴张大。
Suzy takes George's temperature. | 苏茜量了乔治的体温。
Oh, dear, you're very, very hot. | 哦，天啊，你的体温很高很高。
I think you have to stay in bed for three years. | 我想你得在床上躺上三年。
Daddy Pig has come to find George. | 猪爸爸来找乔治了。
Oh, no! What's wrong with George? | 哦，糟糕！乔治怎么啦？
Don't worry, Daddy. It's only a game. | 不要担心，爸爸。玩游戏而已。
George is our patient. | 乔治是我们的病人。
Oh, I see. | 哦，我明白了。
Can the patient have a visitor? | 那病人能有访客吗？
Just for a little while. | 只能看一会哦。
He might get tired. | 他可能很累。
Cookies!!! | 是饼干！！！
Yes, they're for George. | 是的，它们是给乔治的。
They're his medicine to make him feel better. | 它们是能治好乔治的药。
They're his medicine to make him feel better. | 它们是能治好乔治的药。
Um, excuse me, doctor, | 嗯，不好意思，医生，
Can you help me? | 你能帮我吗？
I have a sore tummy. | 我肚子有点疼。
That tickles! | 好痒！
I can hear it rumbling. | 我听到你的肚子在响啊。
I think you're hungry, Daddy. | 我想你是饿了，爸爸。
Then I think I need lots of cookies to make me better. | 我想我需要很多的饼干，然后我能好一点。
And me! | 还有我！
And me! | 还有我！
And me! Baa | 还有我！咩！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Hide and Seek | 捉迷藏
Peppa and George are playing hide and seek. | 佩奇和乔治在玩捉迷藏。
Peppa and George are playing hide and seek. | 佩奇和乔治在玩捉迷藏。
It is George's turn to hide. | 现在轮到乔治藏了。
He must quickly find somewhere to hide before Peppa finishes counting! | 他必须要在佩奇数完数前赶快找地方藏起来。
He must quickly find somewhere to hide before Peppa finishes counting! | 他必须要在佩奇数完数前赶快找地方藏起来。
One... two... three... | 一。。。二。。。三。。。
four... five... six... seven... | 四。。。五。。。六。。。七。。。
George has found somewhere to hide, | 乔治找到地方藏起来了
eight... | 八。。。
just in time! | 正好及时藏了起来！
nine... | 九。。。
ten... | 十。。。
Ready or not. | 准备好了没。
Here I come! | 我来找了。
Peppa has to find where George is hiding. | 佩奇要找到乔治藏在哪。
Found you! | 找到你了！
Peppa has found George. | 佩奇找到了乔治。
George, I could see you too easily. | 乔治，我很容易就看到你了。
Now it is Peppa's turn to hide. | 现在轮到佩奇藏了。
One... erm... three. | 一。。。嗯。。。三。
I'll help George to count. | 我来帮乔治来数数吧。
One... two... three... four... five... | 一。。。二。。。三。。。四。。。五。。。
six... seven... eight... nine... ten! | 六。。。七。。。八。。。九。。。十！
Okay, George, open your eyes! | 好了，乔治，挣开你的眼睛吧！
George has to find where Peppa is hiding. | 乔治要找到佩奇藏在哪。
Oh. | 哦。
Peppa isn't hiding under the table. | 佩奇没有藏在桌底。
George, have you thought oflooking upstairs? | 乔治，你有没有想过上楼上看看？
Peppa isn't under the bed. | 佩奇也没有藏在床底下。
What was that strange noise? | 那是什么奇怪的声音?
Peppa isn't behind the curtain. | 佩奇也没有藏在窗帘后。
There is that strange noise again! | 奇怪的声音又出现了！
What can it be? | 那是什么呢？
George has found where Peppa was hiding. | 乔治找到佩奇藏在哪了。
George found me! | 乔治找到我了！
Now it's Daddy's turn to hide! | 现在轮到爸爸来藏了！
Oh, I think George should have another turn. | 哦，我想乔治应该再藏一次。
But George isn't very good at hiding... | 但是乔治不善于藏。。。
I'm sure he'll be better this time. | 我相信他这次会藏得很好的。
Close your eyes and start counting. | 闭上你的眼睛开始藏吧。
One... two... | 一。。。二。。。
three... four... | 三。。。四。。。
Oh, dear. Peppa will easily find George. | 哦，糟糕。佩奇会很容易找到乔治的。
five... | 五。。。
six... George! | 六。。。乔治！
Come over here... seven... | 过来这边。。。七。。。
eight... nine... ten! | 八。。。九。。。十！
Ready or not, here I come! | 准备好了没，我来找了！
Oh, George isn't hiding under the table! | 哦，乔治没有藏在桌底下！
But George always hides under the table! | 但是乔治以前总藏在桌底下的！
Have you thought of looking upstairs? | 你有没有想过看看楼上呢？
I know where he is! | 我知道他在哪了！
George is in the toy basket. | 乔治肯定藏在玩具篮里。
Oh. | 哦。
George is not in the toy basket! | 乔治没有藏到玩具篮里！
Where can he be? | 他在哪呢？
Peppa can not find George anywhere. | 佩奇哪也找不到乔治。
Daddy? I can't find George anywhere. | 爸爸？我找不到乔治。
Oh, dear, I wonder where he can be. | 哦，这样啊，我知道他藏到哪。
Actually, I think there's somethingabout George in this newspaper... | 事实上，我想报纸上有些关于乔治的消息。。。
Actually, I think there's somethingabout George in this newspaper... | 事实上，我想报纸上有些关于乔治的消息。。。
George! Found you! | 乔治！我找到你了！
Oh, George! | 哦，乔治！
That was a good place to hide! | 那真是一个捉迷藏的好地方！
George was hiding behind Daddy Pig's newspaper all the time! | 原来乔治一真藏在猪爸爸的报纸后面！
George was hiding behind Daddy Pig's newspaper all the time! | 原来乔治一真藏在猪爸爸的报纸后面！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
The Playgroup | 乔治第一天上幼儿园
Peppa and George are going to the playgroup. | 乔治和佩奇一起去幼儿园。
It is George's first day. | 这是乔治第一天去幼儿园。
George, are you looking forward to the playgroup? | 乔治，你是不是很期待去幼儿园呢？
Daddy, maybe George is too small to go to my playgroup? | 爸爸，乔治会不会年纪太小不适合上幼儿园啊？
He'll be fine, Peppa. | 他会很好的，佩奇。
There'll be you and Mr. Dinosaur there to keep him company. | 有你和恐龙先生陪在他的身边的。
Grrr! Dine-Saw! | 咯~！恐龙！
But I want to play with the big children! | 但我想和其他大一点的小朋友玩！
Not George and his toy dinosaur. | 不想和乔治和他的恐龙玩具玩。
Oh dear, Peppa doesn't want George to go to her playgroup. | 哦，天啊，佩奇不想和乔治一起去幼儿园。
We're here! | 我们到了！
Daddy, are you sure George is big enough? | 爸爸，你确定乔治能上幼儿园吗?
He'll be fine. | 他会好好的。
Alright, he can come. | 那好吧，他来吧。
Bye bye. | 再见。
Madame Gazelle looks after the children at the playgroup. | 羚羊夫人在照看幼儿园里的小朋友。
Hello! This is my little brother, George. | 你们好！这是我的弟弟，乔治。
Hello, George. | 你好，乔治。
Baa! I wish I had a little brother like George. | 咩！我希望我也有一个像乔治一样的弟弟。
Really? | 真的吗？
Hello! I'm Danny Dog. | 你好！我是小狗丹尼。
Woof woof! Is that a dinosaur? | 汪~汪~！那个是恐龙吗？
It's just a toy dinosaur. | 那只是个玩具恐龙。
Grrr! Dine-Saw! | 咯~！恐龙！
Brilliant! Woof woof! | 好棒啊！汪~汪~！
Dine-Saw! Grrr! | 恐-龙！咯~！
Aaaaaggghh! | 啊~~~！
Dine-Saw! Grrr! | 恐-龙！咯~！
Aaaah, really scary. | 啊~！真的很吓人。
That's brilliant! | 真的很棒！
George is my brother. | 乔治是我的弟弟。
He's brilliant. | 他真的很棒！
Peppa is proud of her little brother, George. | 佩奇为她的弟弟感到自豪。
Shall we show George how we paint pictures? | 我们让乔治看看我们是怎么画画的？
George is not very good at painting. | 乔治不善于画画。
Well, maybe you could help him? | 那么，也许你能帮帮他吧？
Yes, I'm very good! | 是的，我很会画画！
I will show him how to paint a flower. | 我会教他怎么去画一朵小花。
George, today I'm going to teach you how to paint a flower. | 乔治，今天我会教你怎么去画一朵小花。
First, you paint a big circle. | 首先，你画一个大大的圆圈。
No, George, that's the wrong color. | 不对，乔治，颜色不对。
Now you paint the flower's petals. | 现在你再画花瓣。
George! That's the wrong shape! | 乔治！形状不对！
Now you paint the stalk and the leaves. | 现在你再画茎和叶子。
Perfect! | 完美！
George, you've done it all wrong! | 乔治，你全画错了！
Now what do we have here? | 现在我们这里有什么画呢？
I've painted a flower. | 我画了一朵花。
That's very good, Peppa. | 画得真好，佩奇。
And George has painted a dinosaur. | 乔治画了一只恐龙。
Grrr... Dine-Saw! | 咯。。。恐龙！
Woof! Brilliant! | 汪！真棒！
I think George and Peppa's pictures should go on the wall. | 我认为乔治和佩奇的画都应该挂在墙上。
Hurray! | 好啊！
Peppa, You must be very proud of your little brother. | 佩奇，你的弟弟一定让你感到很自豪。
Yes, I am. | 是的，我觉得是的。
It is home time and | 放学了
the children's parents arehere to pick them up. | 家长们来接小朋友回家了。
Can George come next time? | 乔治下次还能来吗？
Yes, and he can paint usanother lovely picture. | 是的，他还能给我们画其它可爱的画。
And what will you paint next time, George? | 乔治，你下次会画什么呢？
Dine-Saw! Grrr! | 恐龙！咯~！
Another dinosaur picture? | 再画另外一张恐龙吗？
Well, maybe you can show us allhow to paint a dinosaur? | 好的，也许你可以教教大家如何去画恐龙。
Well, maybe you can show us allhow to paint a dinosaur? | 好的，也许你可以教教大家如何去画恐龙。
Woof! Brilliant! | 汪~！太棒了！
Yes! Brilliant! | 是的，太棒了！
Bri-y-ant! | 太-棒-了！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
Mummy Pig at work | 猪妈妈在工作
Mummy Pig is working on her computer. | 猪妈妈在电脑前工作。
Daddy Pig is making soup for lunch. | 猪爸爸在做午餐的汤。
Daddy? Can we go and watch Mummy on her computer? | 爸爸？我们可以去看妈妈在电脑前工作吗？
Yes, as long as you don't disturb her. | 是的，只要你们不打扰她工作。
She has a lot of important work to do today. | 她今天有很多重要的工作要做。
Thank you, Daddy! | 谢谢你，爸爸！
Mummy Pig has a lot of important work to do. | 猪妈妈有很多重要的工作要做。
Mummy. Can George and I sit on your lap and watch you work? | 妈妈。乔治和可以坐在你大腿上看你工作吗？
Yes, if you both sit quietly. | 是的，如果你俩保持安静。
Peppa and George love to watch Mummy work on the computer. | 佩奇和乔治最喜欢看妈妈在电脑前工作了。
Mummy? Can we playthat computer game, | 妈妈？我们可以玩电脑游戏
''Happy Mrs. Chicken''? | “快乐小鸡”吗？
We can play ''Happy Mrs. Chicken'' later. | 我们稍后才玩游戏“快乐小鸡”。
But now I have to work. | 但现在我得工作。
Mummy? Can we help you work? | 妈妈？我们可以帮你工作吗？
No, Peppa! You mustn't touch the computer. | 不行，佩奇！你不能乱碰电脑。
And George, you mustn't touch the computer, either. | 乔治，你也不能乱碰电脑。
Yes, George. You mustn't do this. | 是的，乔治。你不可以这样乱碰。
Peppa, stop! | 佩奇，停下来！
Sorry, Mummy. | 对不起，妈妈。
I was just showing George what not to do. | 我只是想让乔治看看什么是不能做的。
Oh, dear. The computer is not meant to do that. | 哦，糟糕。电脑好像出现了故障。
Daddy Pig! | 猪爸爸！
Daddy Pig!! | 猪爸爸！！
What is it, Mummy Pig? | 发生了什么事了，猪妈妈？
Daddy Pig, can you mend the computer? | 猪爸爸，你能修好这台电脑吗？
Err... | 呃。。。
I'll finish the lunch while you mend the computer. | 我去做午餐，你来修好这台电脑吧。
Err... Right. you are, Mummy Pig, | 呃。。。好的，猪妈妈。
but I'm not very good with these things... | 但是我不是很善长于修电脑。。。
Oh, thank you, Daddy Pig! | 哦，谢谢你，猪爸爸！
Daddy Pig is going to mend the computer! | 猪爸爸去修电脑了！
Hmm. | 嗯。
Hmmm. | 嗯。
Hmm. | 嗯。
Um. Maybe if I just switch if off... | 嗯。也许我先把电脑关了。。。
And then switch it on again... | 然后再重新开机。。。
Daddy Pig has mended the computer! | 猪爸爸把电脑修好了！
Hurray, Daddy! | 好了，爸爸！
Yes, I am a bit of an expert at these things. | 是的，看来我是这方面的专家。
Daddy? Can we play that computer game, ''Happy Mrs. Chicken?'' | 爸爸？我们可以玩电脑游戏“快乐小鸡”吗？
Maybe you should ask Mummy Pig. | 也许你们要问一下妈妈。
Mummy said that we could play it later. | 妈妈说我们呆会可以玩。
Well, that's okay, then. | 好吧，那就可以了。
But I don't know where the disc is. | 但是我不知道游戏光盘在哪。
Yippeeee! | 耶~~！
Now, it's my turn! | 现在，轮到我了！
Now, it's my turn! | 现在，轮到我了！
What on earth is going on? | 究竟发生什么事了？
Well, I see that the computer is working again. | 好的，我看到电脑又能重新工作了。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Camping! | 露营！
Peppa and her family are going camping. | 佩奇和家人一起去露营。
I love camping. | 我喜欢露营。
we're here. | 我们到了。
Hurray! | 太好了！
Peppa, George, | 佩奇，乔治，
this is the tent I had when I was a little boy! | 这个帐篷是我小时候用过的！
Daddy? How are you goingto make that into a tent? | 爸爸？你怎样把它搭成帐篷？
Don't worry, Peppa! | 不用担心，佩奇！
I'm an expert at camping! | 我是个搭帐篷的好手！
Mummy Pig, put the tenton the poles, please. | 猪妈妈，请把帐篷布铺到柱子上。
That's it! Easy as pie! | 就是这样！小菜一碟！
Oh! | 哦！
Do these pegs do anything? | 这些钉是干嘛用的？
Of course! | 当然有用！
I forgot about the pegs! | 我忘了这些钉了！
The pegs hold the tent up. | 有钉将帐篷固定了起来。
There! | 好了！
The tent is a bit little. | 这顶帐篷有点小啊。
It was big enough for me when I was a boy. | 当我还是个小男孩时它是够用的。
But it does look a bit small now... | 但是现在它看起来确实有点小了。。。
That's because you've grown a bit since you were a boy, Daddy Pig! | 这是因为你从一个小男孩长大了，猪爸爸！
That's because you've grown a bit since you were a boy, Daddy Pig! | 这是因为你从一个小男孩长大了，猪爸爸！
And your tummy has grown the most of all! | 而且你的肚子是长得最大的！
